Quarter_ID,Manager_ID,Stock_ID,Market_Value
3,73,344,207000
3,73,370,2677000
3,84,240,329000
3,84,259,1527000
3,84,417,18383000
3,106,373,210000
3,106,146,174000
3,106,266,90000
3,106,305,251000
3,106,329,169000
3,106,73,486000
3,113,4,102000
3,113,286,168000
3,113,447,206000
3,113,445,156000
3,113,402,522000
3,113,16,301000
3,113,391,199000
3,113,326,1145000
3,113,40,1589000
3,113,337,2239000
3,113,491,743000
3,113,89,48000
3,113,271,11000
3,113,322,355000
3,113,478,1552000
3,113,401,1640000
3,113,483,289000
3,113,102,12803000
3,113,330,1032000
3,113,232,326000
3,113,56,4272000
3,113,420,4155000
3,119,128,1563000
3,119,428,921000
3,132,51,2497000
3,132,415,2719000
3,132,111,437000
3,132,419,1997000
3,132,229,1378000
3,132,456,405000
3,134,204,1482000
3,134,222,1957000
3,153,3,5008000
3,153,409,678000
3,153,216,1316000
3,161,24,289000
3,161,422,2991000
3,161,31,2224000
3,161,425,10451000
3,164,314,821000
3,164,116,3144000
3,164,92,1253000
3,167,320,3827000
3,178,47,5098000
3,178,371,8421000
3,193,227,3689000
3,219,363,1149000
3,219,385,2705000
3,219,17,2911000
3,219,468,988000
3,219,80,1997000
3,219,148,215000
3,219,198,344000
3,221,243,4284000
3,221,192,7011000
3,221,282,1073000
4,17,230,638000
4,18,438,1777000
4,18,291,806000
4,18,456,1034000
4,18,187,1135000
4,18,303,1560000
4,36,381,1315000
4,36,379,638000
4,36,207,2018000
4,49,219,1028000
4,49,183,1222000
4,49,12,758000
4,49,141,1034000
4,55,481,2601000
4,55,401,2013000
4,55,104,799000
4,57,360,901000
4,66,175,1480000
4,66,139,379000
4,75,347,508000
4,75,314,1314000
4,75,254,1019000
4,75,138,643000
4,75,188,782000
4,75,278,795000
4,75,14,291000
4,83,96,687000
4,84,415,958000
4,89,6,594000
4,89,169,1580000
4,92,44,988000
4,96,26,622000
4,96,57,1598000
4,96,24,1041000
4,96,40,1345000
4,96,392,253000
4,96,391,1541000
4,103,156,1680000
4,103,338,458000
4,103,343,917000
4,103,171,1351000
4,103,223,1588000
4,103,354,932000
4,103,420,430000
4,103,416,1557000
4,103,29,836000
4,104,372,995000
4,104,128,1488000
4,104,194,1916000
4,104,316,755000
4,106,216,223000
4,124,173,1233000
4,124,492,1129000
4,132,89,1041000
4,132,97,518000
4,132,375,665000
4,133,4,1430000
4,144,494,1563000
4,147,112,1367000
4,147,476,1494000
4,147,48,1462000
4,148,259,1161000
4,148,23,1443000
4,153,455,1109000
4,153,472,1593000
4,155,244,1175000
4,161,35,418000
4,161,352,1789000
4,161,197,1558000
4,161,117,504000
4,162,73,879000
4,162,176,956000
4,162,92,507000
4,164,95,446000
4,164,215,1014000
4,164,245,1695000
4,164,374,1143000
4,170,163,532000
4,198,172,1465000
4,203,376,274000
4,203,247,1610000
4,203,423,462000
4,203,262,692000
4,203,65,184000
4,204,204,749000
4,208,449,579000
4,208,166,941000
4,208,378,511000
4,234,328,198000
4,234,85,283000
4,234,131,347000
4,234,17,702000
4,234,385,383000
4,234,159,286000
4,234,469,501000
4,234,433,434000
4,234,209,318000
4,234,86,681000
4,234,83,403000
4,234,154,570000
5,17,63,282000
5,17,430,450000
5,17,148,333000
5,17,64,416000
5,34,466,328000
5,34,214,402000
5,34,45,840000
5,34,195,802000
5,34,232,248000
5,34,47,852000
5,34,284,326000
5,34,24,251000
5,34,340,527000
5,34,279,419000
5,34,388,190000
5,34,222,391000
5,34,445,1088000
5,34,94,240000
5,34,320,5174000
5,34,426,333000
5,34,454,242000
5,34,210,906000
5,34,389,900000
5,57,398,862000
5,57,71,312000
5,57,351,437000
5,57,56,776000
5,57,190,237000
5,57,319,147000
5,57,302,775000
5,57,285,389000
5,57,13,821000
5,57,119,594000
5,57,163,920000
5,57,355,1109000
5,57,287,201000
5,57,301,327000
5,57,152,1550000
5,83,196,1023000
5,103,451,480000
5,128,360,10717000
5,128,33,1217000
5,128,435,317000
5,128,208,272000
5,128,88,1974000
5,128,236,441000
5,128,482,933000
5,128,175,2227000
5,128,7,1758000
5,128,269,684000
5,139,263,276000
5,139,476,1057000
5,139,333,905000
5,139,36,118000
5,139,127,910000
5,139,364,1736000
5,139,29,1463000
5,144,66,492000
5,144,339,1335000
5,144,436,397000
5,144,378,361000
5,144,131,564000
5,144,223,83000
5,144,31,51000
5,144,133,245000
5,144,449,743000
5,144,416,242000
5,144,105,1301000
5,144,55,376000
5,144,43,448000
5,144,204,292000
5,155,254,446000
5,155,197,392000
5,155,59,25000
5,162,327,196000
5,175,485,315000
5,175,314,247000
5,175,356,410000
5,176,123,152000
5,176,266,207000
5,176,69,267000
5,176,286,725000
5,191,138,1223000
5,191,478,208000
5,191,271,910000
5,191,50,347000
5,193,274,1208000
5,193,65,490000
5,193,212,204000
5,193,116,491000
5,193,309,271000
5,197,166,714000
5,199,425,227000
5,199,86,900000
5,199,374,86000
5,208,288,2184000
5,208,240,317000
5,229,460,1526000
5,229,326,23677000
5,229,110,301000
